Dedicante,Testo Dedica,Inventario,BID,Collocazione,Descrizione,Latitude,Longitude,Citta dell'autore,Note,Città di Scritta Dedica,Data,Link,n Record
"Accolla, Giovanni Francesco","A Elio Pagliarani, all'unico poeta tanto poeta, il solo maestro, con tutta l'amorevole ammirazione di cui sono capace. Francesco Accolla Roma giugno '91 (segue indirizzo)",5192,CFI0185736,RISERVATI POESIA.ACCOLLA 1991(A) ,"Il *dubbio e l'inautentico : 1988-1990 / Giovanni Francesco Accolla ; prefazione di Stefano Giovanardi. - \Spinea! : Edizioni del Leone, ©1991. - 60 p. ; 20 cm",41.9028 N,12.4964 E,Roma,,Roma,giugno 1991,https://drive.google.com/file/d/18ptU9pmbennDwABunyDSvS1IYLuwFEsJ/view?usp=sharing,
"Accrocca, Elio Filippo",A Elio Pagliarani con i saluti di Elio Fil Accrocca,4654,RLZ0306651,RISERVATI POESIA.ACCROCCA 1965(A) ,"*Roma paesaggio e poesia / Elio Filippo Accrocca. - Roma : Canesi, 1965. - 199 p. : ill. ; 25 cm ((Raccolta di poesie di autori vari",41.4622 N,15.5446 E,Foggia,,,,https://drive.google.com/file/d/17r851GvV6IqcMzxH4hqo9rZC2q-tzzjj/view?usp=sharing,
"Albertazzi, Ferdinando",Per Elio Pagliarani da Ferdinando Albertazzi  25-1- '72,4952,SBL0429640,RISERVATI SAGGISTICA.ALBERTAZZI 1971(A) ,"*Andre Breton, un uomo attento / a cura di Ferdinando Albertazzi. - Ravenna : Longo, stampa 1971. - 213 p. : ill. ; 21 cm ((Scritti di vari.",45.0703 N,7.6869 E,Turin,,,25 gennaio 1972,,
"Alberti, Barbara","A Elio Pagliarani che mi ha fatto felice (si ricorda la mia farsa?) con una critica tutta negativa, perchè non mi ha trattato con sufficienza (così così) come donna, ma stroncandomi ha affermato una rarità. Sarei contenta se questo mio libro le piacesse più del lavoro teatrale, e non in ossequio alla sua condizione di critico, ma perchè voglio comunicare con gli uomini. Barbara Alberti Milano, 14.5.76",3680,SBL0591897,RISERVATI.NARRATIVA.ALBERTI.1976(A),"*Memorie malvage / Barbara Alberti. - Venezia : Marsilio, 1976. - 140 p. ; 20 cm",41.9028 N,12.4964 E,Roma,,Milano,14 maggio 1976,https://drive.google.com/file/d/10nQFVemszTvQYRF3AICfTqB0MFTzsY8c/view?usp=sharing,
"Albisani, Sauro","A l'Antico Fattor, 25 ottobre 2007 A Elio, che mi ha insegnato a usare la cimosa per cancellare l'io dalla lavagna della poesia. (Erano i tempi di via Margutta) Con gratitudine e affetto, Sauro",5117,BVE0286292,RISERVATI POESIA.ALBISANI 2002(A) ,"*Terra e cenere / Sauro Albisani ; con uno scritto di Luigi Baldacci. - Roma : Il labirinto, 2002. - 132 p. ; 21 cm",43.7696 N,11.2558 E,Firenze,,,25 ottobre 2007,https://drive.google.com/file/d/1wwccL7PZvfjojfpMxhieKlxoUwRk7kLY/view?usp=sharing,
"Albisani, Sauro",A Elio con molto affetto e con tutta la mia ammirazione Sauro,5430,CFI0159574,RISERVATI TEATRO.ALBISANI 1987(A) ,"*Campo del sangue / Sauro Albisani. - Firenze : Vallecchi, \1987!. - 302 p. ; 21 cm",43.7696 N,11.2558 E,Firenze,,,,https://drive.google.com/file/d/1ZlbxPR7URv6--PAFCjLIRUMFPJIBH8Ub/view?usp=sharing,
"Amodio, Luciano",Una lezione di storia della ragazza Rosa ad un professore di fisica sconsiglio con affetto Luciano,5193,IEI0070525,RISERVATI SAGGISTICA.AMODIO 1963(A) ,"*Scritti scelti / Rosa Luxemburg ; a cura di Luciano Amodio. - Milano : Avanti|, 1963. - 716 p., [10] p. di tav. : ill. ; 23 cm",45.4642 N,9.1900 E,Milano,,,,https://drive.google.com/file/d/1JIZYRTiYq-PtZ_Ng31pPTbs71kvpDVAl/view?usp=sharing,
"Amodio, Luciano",Una lezione di storia della ragazza Rosa ad un professore di fisica sconsiglio con affetto Luciano,5193, IEI0070525,RISERVATI.SAGGISTICA.LUXEMBURG.1963(A),"Scritti scelti / Rosa Luxemburg ; a cura di Luciano Amodio. - Milano : Avanti|, 1963. - 716 p., [10] p. di tav. : ill. ; 23 cm",45.4642 N,9.1900 E,Milano,Dedica del curatore Luciano Amodio,,,,
"Anania, Vincenzo",Con la grande stima e l'amicizia di Vincenzo (Anania) Roma - Gennaio  '93,5433,CFI0251581,RISERVATI POESIA.ANANIA 1992(A) ,"*Nell'arco / Vincenzo Anania ; note introduttive di Luca Canali e Dacia Maraini. - Milano : Crocetti, \1992!. - 108 p. ; 20 cm",41.9028 N,12.4964 E,Roma,,Roma,gennaio 1993,https://drive.google.com/file/d/1WnqsfFLvLYteUjwAZNsNv4p35q5UI3fQ/view?usp=sharing,
"Anceschi, Luciano",A Elio Pagliarani il suo L Anceschi,519,SBL0246289,RISERVATI ANTOLOGIE.ANCESCHI 1961(A) ,"*Lirica del Novecento : antologia di poesia italiana / [a cura di] Luciano Anceschi, Sergio Antonielli. - 2. ed. - Firenze : Vallecchi, [1961]. - CVI, 897 p. ; 20 cm",44.4949 N,11.3426 E,Bologna,,,,,
"Annino, Cristina","Al grande poeta Elio Pagliarani i miei auguri più cari, profondi e antichi Cristina Annino 25 maggio 2010.",5264,TO01756160,RISERVATI POESIA.ANNINO 2009(A) ,"*Magnificat : poesie 1969-2009 / Cristina Annino ; a cura di Luca Benassi ; prefazione di Stefano Guglielmin. - Novi Ligure : Puntoacapo, stampa 2009. - 195 p. ; 21 cm",43.7696 N,11.2558 E,Firenze,,,25 maggio 2010,https://drive.google.com/file/d/15lOr6rOsN1mJGhS2CAM87LpxvZOl6Pt8/view?usp=sharing,
"Annino, Cristina","Con profondissima stima, ad Elio, e con affetto vero. Cristina Annino 18-9-2008",3682,BA10044115,RISERVATI.POESIA.ANNINO.2008(A),"*Casa d' Aquila / Cristina Annino. - Bari : Levante, [2008]. - 93 p. ; 17 cm.",43.7696 N,11.2558 E,Firenze,,,18 settembre 2008,https://drive.google.com/file/d/1YYV79GFBOeqtaaFOpEYgSKs65pUOyo7-/view?usp=sharing,
"Apolloni, Ignazio",A Elio Pagliarani Palermo 7.8.1976 Ignazio Apolloni,3699,CFI0161361,RISERVATI NARRATIVA.APOLLONI 1976(A) ,"*Niusia / Ignazio Apolloni. - Palermo : Antigruppo, stampa 1976. - 182 p. : ill. ; 20 cm ((Ed. di 500 esempl.",38.1157° N,13.3615° E,Palermo,,Palermo,7 agosto 1976,https://drive.google.com/file/d/10qooRlY3O9-vrT4u9ty_bCd5vDRG6Jl7/view?usp=sharing,
"Arbasino, Alberto","Per Elio Pagliarani con un caro saluto dal Passato Remoto, Alberto",2398,RAV0262881,RISERVATI NARRATIVA.ARBASINO 1995(A) ,"*Parigi o cara / Alberto Arbasino. - Milano : Adelphi, \1995!. - 311 p. ; 18 cm",,,,,,,https://drive.google.com/file/d/1_q1Gl6DEArmMcZnNoXxmlhtBWjMNTqM3/view?usp=sharing,
"Arbasino, Alberto","Per Elio Pagliarani con un caro saluto dal Passato Remoto, Alberto",2398,RAV0262881,RISERVATI NARRATIVA.ARBASINO 1995(A) ,"Parigi o cara / Alberto Arbasino. - Milano : Adelphi, \1995!. - 311 p. ; 18 cm",,,,,,,https://drive.google.com/file/d/10Xn3RG00l7LproYsaLNR2Fem56R2mPZ9/view?usp=sharing,
"Arbasino, Alberto",Per Elio Pagliarani un cordiale saluto da Alberto Arbasino,1783,RAV0058494,RISERVATI NARRATIVA.ARBASINO 1975(A) ,"La *narcisata / Alberto Arbasino. - Torino : Einaudi, [1975]. - 127 p. ; 20 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1rwaI50OZdidIyqvNb_Jpr_g8rc5qVRHT/view?usp=sharing,
"Arbasino, Alberto",Per Elio con un abbraccio e un applauso anche a Rudi! Alberto,3637,RAV0254013,RISERVATI NARRATIVA.ARBASINO 1995(A) ,"*Specchio delle mie brame / Alberto Arbasino. - Milano : Adelphi, [1995]. - 169 p. ; 22 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/13l9mNX0tnnXJxuk8JxYYC8K3O24sNW8b/view?usp=sharing,
"Arbasino, Alberto",Per Elio Pagliarani un caro saluto da Alberto,3642,RAV0053288,RISERVATI NARRATIVA.ARBASINO 1978(A) ,"*Super-Eliogabalo : Romanzo / Alberto Arbasino. - Torino : Einaudi, [1978]. - 351 p. ; 20 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1giMiMJ9YWoa1oY5icQtklY-E6sxTBJCS/view?usp=sharing,
"Arbasino, Alberto",Per Elio Pagliarani con un saluto da Alberto,3644,RAV0304497,RISERVATI NARRATIVA.ARBASINO 1997(A) ,"*Passeggiando tra i draghi addormentati / Alberto Arbasino. - Milano : Adelphi, \1997!. - 271 p. ; 18 cm",41.9028° N,12.4964° E,Roma,,,,https://drive.google.com/file/d/1cdFG8RQ4o5qR76S_W1KfFCgdhMS8QCMU/view?usp=sharing,
